eval_run,win_rate,Win Rate 95% CI,loss_rate,Loss Rate 95% CI,push_rate,Push Rate 95% CI,average_reward,Avg Reward 95% CI
baseline-1__eval_seed_1234,0.426638,"[0.4257, 0.4276]",0.478565,"[0.4776, 0.4795]",0.094797,"[0.0942, 0.0954]",-0.051927,"[-0.0538, -0.0501]"
baseline-1__eval_seed_4321,0.426639,"[0.4257, 0.4276]",0.47852,"[0.4775, 0.4795]",0.094841,"[0.0943, 0.0954]",-0.051881,"[-0.0537, -0.0500]"
baseline-1__eval_seed_9876,0.426675,"[0.4257, 0.4276]",0.47855,"[0.4776, 0.4795]",0.094775,"[0.0942, 0.0953]",-0.051875,"[-0.0537, -0.0500]"
counting-1__eval_seed_1234,0.428518,"[0.4275, 0.4295]",0.477778,"[0.4768, 0.4788]",0.093704,"[0.0931, 0.0943]",-0.04926,"[-0.0511, -0.0474]"
counting-1__eval_seed_4321,0.428534,"[0.4276, 0.4295]",0.477772,"[0.4768, 0.4788]",0.093694,"[0.0931, 0.0943]",-0.049238,"[-0.0511, -0.0474]"
counting-1__eval_seed_9876,0.428424,"[0.4275, 0.4294]",0.477834,"[0.4769, 0.4788]",0.093742,"[0.0932, 0.0943]",-0.04941,"[-0.0513, -0.0475]"
baseline-42__eval_seed_1234,0.4276,"[0.4266, 0.4286]",0.47945,"[0.4785, 0.4804]",0.09295,"[0.0924, 0.0935]",-0.05185,"[-0.0537, -0.0500]"
baseline-42__eval_seed_4321,0.427563,"[0.4266, 0.4285]",0.479465,"[0.4785, 0.4804]",0.092972,"[0.0924, 0.0935]",-0.051902,"[-0.0538, -0.0500]"
baseline-42__eval_seed_9876,0.427583,"[0.4266, 0.4286]",0.479465,"[0.4785, 0.4804]",0.092952,"[0.0924, 0.0935]",-0.051882,"[-0.0537, -0.0500]"
counting-42__eval_seed_1234,0.428626,"[0.4277, 0.4296]",0.477792,"[0.4768, 0.4788]",0.093582,"[0.0930, 0.0942]",-0.049166,"[-0.0510, -0.0473]"
counting-42__eval_seed_4321,0.428592,"[0.4276, 0.4296]",0.477816,"[0.4768, 0.4788]",0.093592,"[0.0930, 0.0942]",-0.049224,"[-0.0511, -0.0474]"
counting-42__eval_seed_9876,0.428601,"[0.4276, 0.4296]",0.47785,"[0.4769, 0.4788]",0.093549,"[0.0930, 0.0941]",-0.049249,"[-0.0511, -0.0474]"
baseline-123__eval_seed_1234,0.428202,"[0.4272, 0.4292]",0.47905,"[0.4781, 0.4800]",0.092748,"[0.0922, 0.0933]",-0.050848,"[-0.0527, -0.0490]"
baseline-123__eval_seed_4321,0.428086,"[0.4271, 0.4291]",0.479088,"[0.4781, 0.4801]",0.092826,"[0.0923, 0.0934]",-0.051002,"[-0.0529, -0.0491]"
baseline-123__eval_seed_9876,0.428162,"[0.4272, 0.4291]",0.479084,"[0.4781, 0.4801]",0.092754,"[0.0922, 0.0933]",-0.050922,"[-0.0528, -0.0491]"
counting-123__eval_seed_1234,0.427933,"[0.4270, 0.4289]",0.478603,"[0.4776, 0.4796]",0.093464,"[0.0929, 0.0940]",-0.05067,"[-0.0525, -0.0488]"
counting-123__eval_seed_4321,0.427914,"[0.4269, 0.4289]",0.478653,"[0.4777, 0.4796]",0.093433,"[0.0929, 0.0940]",-0.050739,"[-0.0526, -0.0489]"
counting-123__eval_seed_9876,0.427964,"[0.4270, 0.4289]",0.478629,"[0.4776, 0.4796]",0.093407,"[0.0928, 0.0940]",-0.050665,"[-0.0525, -0.0488]"
